company_id,company_key,company_name,company_name_variants,company_size,website,domain,industry,founded_in,founded_raw,description,company_type,annual_revenue,employee_total,company_email,linkedin_url,linkedin_description,state,ndis_direct_support,nursing_care_relevance,position_tier_best,people_count,support_coordinator_count,people_with_email_count,source_batch
6815391f49fef811,cofc.com.au,Churches of Christ in Queensland,Cabemcare,1001-5000,https://cofc.com.au,cofc.com.au,Non-profit Organizations,,,"Churches of Christ is a church and community organization that includes a group of affiliated, mainstream Christian churches and a range of care and community services and faith-related groups. 

We have been an active part of the community for more than 130 years and are a significant presence within Queensland with over 200 services in more than 100 communities; we also work in partnership with Churches of Christ in Victoria and Tasmania to provide care services in those states through Churches of Christ.

Through our local churches and care and support services we touch tens of thousands of lives each year. We strive to create an inclusive, caring, compassionate environment that meets our clients’ needs without discrimination or prejudice. 

Everyone is welcome to call on our help, regardless of religion, beliefs or background. Our services are funded by a mix of government subsidies, grants, donations, fees and charges.

Identity: Our identity, existence and purpose as an organisation is found in Jesus Christ as revealed in the scriptures.

Values: Modelling unconditional love, behaving with integrity and being good stewards.

Mission: Bringing the light of Christ into communities.

Services: We provide services across Seniors and Supported Living - Residential Aged Care, Home Care and Retirement Living; Children, Youth and Family - Foster and Kinship Care; Housing Support - affordable housing options.",,,1279,,https://www.linkedin.com/company/cabemcare/,,NSW,No,No,A,2,1,1,Triple R NSW Campaign 3 Cold Export
c36386250a4785ae,cre8away.com.au,Cre8Away,,2-10,https://cre8away.com.au,cre8away.com.au,Hospitals and Health Care,,,NDIS Registered Service Provider covering the Blue Mountains and Central West,,,4,,https://www.linkedin.com/school/university-of-sydney/,,NSW,No,No,A,2,1,1,Triple R NSW Campaign 3 Cold Export
76ff175e49ad6ce7,ethicalcoordinationofsupports.com.au,Ethical Coordination Of Supports,,2-10,https://ethicalcoordinationofsupports.com.au,ethicalcoordinationofsupports.com.au,,,2001-01-10T00:00:00.000Z,,,,3,,https://www.linkedin.com/company/ethical-coordination-of-supports/,,NSW,Yes,No,A,2,1,2,Triple R NSW Campaign 3 Cold Export
6f8bfc6295e444b4,glch.org.au,Gippsland Lakes Community Health,Gippsland Lakes Complete Health,,https://glch.org.au/,glch.org.au,,,,,,,,,,,VIC,Yes,Yes,A,2,1,0,Triple R VIC Campaign 3 Cold Export
76154d896372d76c,intentionalconnections.net,Intentional Connections,,,https://intentionalconnections.net,intentionalconnections.net,,,,,,,,,https://www.linkedin.com/company/intentionalconnections1/,,NSW,Unclear,No,A,2,1,1,Triple R NSW Campaign 3 Cold Export
714a7d1a8a9f74b5,msaustralia.org.au,MS Australia,,51-200,https://msaustralia.org.au,msaustralia.org.au,Non-profit Organizations,,,"We are MS Australia, Australia’s national multiple sclerosis (MS) not-for-profit organisation that empowers researchers to identify ways to treat, prevent and cure MS, seeks sustained and systemic policy change via advocacy, and acts as the champion for Australia’s community of people affected by MS.

We are the largest Australian not-for-profit organisation dedicated to funding, coordinating, educating and advocating for MS research as part of the worldwide effort to solve MS.",,,112,,https://www.linkedin.com/company/ms-australia/,,NSW,Unclear,No,A,2,1,0,Triple R NSW Campaign 3 Cold Export
e9991535b4495bc3,myguidance.com.au,My Guidance,,2-10,https://myguidance.com.au,myguidance.com.au,Community Services,,2001-01-10T00:00:00.000Z,"Welcome to My Guidance Pty LTD, your trusted partner in navigating the complexities of the NDIS. We specialise in delivering top-tier NDIS Support Coordination and Psychosocial Recovery Coaching across Australia.
 
With decades of professional experience in the disability field, we are dedicated to providing some of the best supports available in the country. Our team consists of dynamic, empathetic professionals who are passionate about making a difference. We understand the importance of personalised, high-quality support and are committed to helping you navigate your NDIS journey with confidence.",,,5,,https://www.linkedin.com/company/myguidanceaustralia/,,NSW,Unclear,No,A,2,1,2,Triple R NSW Campaign 3 Cold Export
a6da61e62dbdda9e,newhorizons-llc.com,New Horizons Enterprises,,,https://newhorizons-llc.com,newhorizons-llc.com,,,,,,,,,https://www.linkedin.com/company/new-horizons-enterprises-limited/,,NSW,Unclear,No,A,2,1,1,Triple R NSW Campaign 3 Cold Export
5eb995ea63865d7d,nolastraysupport.com.au,Nolastray Support,,,https://www.nolastraysupport.com.au/,nolastraysupport.com.au,,,,,,,,,,,VIC,No,Yes,A,2,1,2,Triple R VIC Campaign 3 Cold Export
b1a1f13df13f3aa2,philterryhealthcare.com.au,Phil Terry Healthcare Service,Phil Terry Healthcare,11-50,https://philterryhealthcare.com.au,philterryhealthcare.com.au,Community Services,,2001-11-20T00:00:00.000Z,,,,16,,https://www.linkedin.com/company/phil-terry-healthcare-pty-ltd/,,NSW,Unclear,Yes,A,2,1,1,Triple R NSW Campaign 3 Cold Export
1f6d622e1c9aa566,cg.org.au,Premier Youthworks,CatholicCare,51-200,https://cg.org.au,cg.org.au,,,,,,,172,,https://www.linkedin.com/company/catholiccare/,,NSW,Yes,Yes,A,2,1,1,Triple R NSW Campaign 3 Cold Export
cf17f7183a51577e,sagesc.org,Sage Support Coordination,,,https://sagesc.org/,sagesc.org,,,,,,,,,,,VIC,No,No,A,2,1,0,Triple R VIC Campaign 3 Cold Export
bb05c85680c645b7,scia.org.au,Spinal Cord Injuries Au,My Journey Australia,51-200,https://scia.org.au,scia.org.au,Non-profit Organizations,,,"Spinal Cord Injuries Australia supports people with spinal cord injury to overcome barriers to achieve their goals.

Spinal Cord Injuries Australia (SCIA) is a not-for-profit organisation working for people with spinal cord injury (SCI). Individuals with SCI and similar disabilities use our community-based services to overcome barriers, achieve their goals and live fulfilling personal, social and professional lives.

Our NeuroMoves gyms, located nationally, offer a range of exercise services to suit individual goals and also budget. The exercise services are tailored to work around specific disability in order to enhance  function and mobility, and increase  independence. 

SCIA can help anyone with a physical or neurological condition, such as spinal cord injury (paraplegia and quadriplegia), acquired brain injury (ABI), stroke, Transverse Myelitis, Multiple Sclerosis (MS), Motor Neurone Disease (MND) and Cerebral Palsy (CP).",,,144,,https://www.linkedin.com/company/my-journey-australia/,,NSW,Unclear,Yes,A,2,1,1,Triple R NSW Campaign 3 Cold Export
